id,partner,alcon_id,created_at,skus
53085,bcom,b376806587f867e4844e47994e0282a9,2024-07-12 10:01:26,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53086,bcom,f59dac29654c994a922603881bd39fcb,2024-07-12 10:01:28,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53087,,f7505b89a3274bb328d589ed0fc76675,2024-07-12 14:10:09,"[{""id"": ""8"", ""brand"": ""Air Optix plus HydraGlyde"", ""quantity"": ""1"", ""size"": ""6""}]"
53088,,ccdeb6116b7bb988a5a74556e664016a,2024-07-12 16:40:39,"[{""id"": ""2"", ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": ""90""}]"
53089,,fbc27eaa0555948fb368d10e27fda207,2024-07-12 16:41:52,"[{""id"": ""4"", ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": ""30""}]"
53090,kb-12,68df1fd180381cc08a69b6f286f2d239,2024-07-12 17:55:03,"[{""id"": 2, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 90}]"
53091,kb-12,14eb79943460549ebbfe58b2973c2843,2024-07-12 17:58:03,"[{""id"": 69, ""brand"": ""TOTAL30"", ""quantity"": ""1"", ""size"": 3}]"
53092,kb-12,c4c92091294dad4bb1071a0dc9486420,2024-07-12 17:59:03,"[{""id"": 69, ""brand"": ""TOTAL30"", ""quantity"": ""1"", ""size"": 3}]"
53093,kb-12,24ffbe27fd2a29eb660e423eefffd5fd,2024-07-12 18:05:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53094,kb-12,13f4a5553b8cc75954ef8bfb9d8a1826,2024-07-12 18:06:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53095,kb-12,cfe2e085900409ab1ea369ba17a7d01e,2024-07-12 18:08:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53096,kb-12,bcf8dd8c29094fcc2ca48bc97fcc6e15,2024-07-12 18:08:04,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53097,kb-12,62b8dcb7f6e3a33d2748ed7d4719ef3e,2024-07-12 18:10:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53098,kb-12,875853b11196be2e6ab4b4ef66014ba5,2024-07-12 18:14:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53099,kb-12,8d8d563c503cc2c5968cb1620e8de730,2024-07-12 18:18:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53100,kb-12,6f3268d8ccf46932365f9485a7cbc5d1,2024-07-12 18:24:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""2"", ""size"": 30}]"
53101,kb-12,f7b25d94e0c0dc814707324598f1a22d,2024-07-12 18:25:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53102,kb-12,ce1c9759ba5a77761a86a3d3e81b2a3a,2024-07-12 18:30:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53103,kb-12,280983be3218cc690be2ff4ae57e334b,2024-07-12 18:31:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53104,kb-12,6292f058e7ba48a7dd7e98c30a37448a,2024-07-12 18:31:05,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53105,kb-12,0dde52a4f9ddc8eb0f5e61e6ccdee9dd,2024-07-12 18:31:06,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53106,kb-12,aa2802bc316c4b3a4a7b68280502563f,2024-07-12 18:31:08,"[{""id"": 69, ""brand"": ""TOTAL30"", ""quantity"": ""1"", ""size"": 3}]"
53107,kb-12,ca5d71b1271c1a3725bee0105a60fe23,2024-07-12 18:34:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53108,kb-12,cb988a8778edc52e9f51ba9e5f3e6b92,2024-07-12 18:37:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53109,kb-12,64fb1f5d0b9e625785210f1ebe412588,2024-07-12 18:37:04,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53110,kb-12,2018b923212b96a696a3f67358f611d4,2024-07-12 18:40:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""2"", ""size"": 30}]"
53111,kb-12,2777c980998c06faff1a768814c9be18,2024-07-12 18:45:03,"[{""id"": 69, ""brand"": ""TOTAL30"", ""quantity"": ""1"", ""size"": 3}]"
53112,kb-12,37177ad1b044d3a5b5e1ada0fd11d166,2024-07-12 18:46:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53113,kb-12,bff3d7f76f8c5581a2e43568b05e5362,2024-07-12 18:47:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53114,kb-12,852f79c7d0051ca4e3ff6c915d6d6135,2024-07-12 18:47:05,"[{""id"": 2, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 90}]"
53115,kb-12,527943eda121bf00d2568611af052d23,2024-07-12 18:48:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53116,kb-12,a78e7595a2cd9760b9bb31f0fba4e524,2024-07-12 18:48:05,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53117,kb-12,3cc7696601729aac83d06dd9135ff3a1,2024-07-12 18:49:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53118,kb-12,c26923926257262b1633e01c92ded569,2024-07-12 18:54:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53119,kb-12,4f6c1c192f7a14e2d1122da2cc6371d5,2024-07-12 18:55:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53120,kb-12,7410ae1945f0c33d97654e7d63c3cfcf,2024-07-12 18:57:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53121,kb-12,a8d841b82e3ce89229d8fe935db0bbb4,2024-07-12 18:59:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53122,kb-12,764c41b30aab2c22205d33266ab0510c,2024-07-12 19:07:04,"[{""id"": 65, ""brand"": ""Precision1"", ""quantity"": ""2"", ""size"": 90}]"
53123,kb-12,3ad3174cb56a7335063141f24fbfefe3,2024-07-12 19:08:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53124,kb-12,f27bb66557221e62b875b0a5af415a24,2024-07-12 19:09:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""2"", ""size"": 30}]"
53125,kb-12,dc704b082fa77395679567e9224d06c9,2024-07-12 19:12:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53126,kb-12,0b834f0fbf195f7b2b3d17d35f7f1fbc,2024-07-12 19:16:02,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": ""1"", ""size"": 30}]"
53127,kb-12,75eafec2fbafa5a41fa9ce5ad817b9cd,2024-07-12 19:19:02,"[{""id"": 2, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 90}]"
53128,kb-12,967a8a777042106dcce1d868cb535d00,2024-07-12 19:24:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
